n	Plant_Cultivar	Plant	Cultivar	LW	LA
1 	P1_IAC44	P1	IAC44	27.794	19.859
2 	P1_IAC44	P1	IAC44	35.291	30.23
3 	P1_IAC44	P1	IAC44	70.669	51.071
4 	P1_IAC44	P1	IAC44	135.235	97.9
5 	P1_IAC44	P1	IAC44	54.476	35.897
6 	P1_IAC44	P1	IAC44	56.37	40.143
7 	P1_IAC44	P1	IAC44	52.631	39.977
8 	P1_IAC44	P1	IAC44	81.999	57.458
9 	P1_IAC44	P1	IAC44	84.978	56.794
10 	P1_IAC44	P1	IAC44	27.236	21.751
11 	P1_IAC44	P1	IAC44	42.851	33.115
12 	P1_IAC44	P1	IAC44	32.131	21.701
13 	P1_IAC44	P1	IAC44	49.493	37.21
14 	P1_IAC44	P1	IAC44	58.419	43.489
15 	P1_IAC44	P1	IAC44	23.812	17.932
16 	P1_IAC44	P1	IAC44	32.685	24.479
17 	P1_IAC44	P1	IAC44	24.534	20.252
18 	P1_IAC44	P1	IAC44	37.094	26.356
19 	P1_IAC44	P1	IAC44	47.201	31.16
20 	P1_IAC44	P1	IAC44	12.294	11.742
21 	P1_IAC44	P1	IAC44	63.794	45.179
22 	P1_IAC44	P1	IAC44	40.681	28.268
23 	P1_IAC44	P1	IAC44	24.946	20.866
24 	P1_IAC44	P1	IAC44	25.856	16.832
25 	P1_IAC44	P1	IAC44	21.681	15.2
26 	P1_IAC44	P1	IAC44	95.685	67.247
27 	P1_IAC44	P1	IAC44	29.089	22.681
28 	P1_IAC44	P1	IAC44	79.848	56.617
29 	P1_IAC44	P1	IAC44	136.375	94.717
30 	P1_IAC44	P1	IAC44	56.538	43.756
31 	P1_IAC44	P1	IAC44	128.243	94.241
32 	P1_IAC44	P1	IAC44	49.485	33.886
33 	P1_IAC44	P1	IAC44	101.481	71.427
34 	P1_IAC44	P1	IAC44	136.178	93.868
35 	P1_IAC44	P1	IAC44	65.096	43.387
36 	P1_IAC44	P1	IAC44	76.351	54.667
37 	P1_IAC44	P1	IAC44	144.277	95.959
38 	P1_IAC44	P1	IAC44	28.695	20.675
39 	P1_IAC44	P1	IAC44	34.39	21.935
40 	P1_IAC44	P1	IAC44	6.124	4.695
41 	P1_IAC44	P1	IAC44	64.071	49.322
42 	P1_IAC44	P1	IAC44	61.327	43.05
43 	P1_IAC44	P1	IAC44	5.045	3.201
44 	P1_IAC44	P1	IAC44	37.793	25.847
45 	P1_IAC44	P1	IAC44	82.037	54.753
46 	P1_IAC44	P1	IAC44	31.867	25.06
47 	P1_IAC44	P1	IAC44	51.63	36.741
48 	P1_IAC44	P1	IAC44	122.146	91.868
49 	P1_IAC44	P1	IAC44	37.851	9.165
50 	P1_IAC44	P1	IAC44	42.855	19.802
51 	P1_IAC44	P1	IAC44	27.993	37.024
52 	P1_IAC44	P1	IAC44	6.003	7.704
53 	P1_IAC44	P1	IAC44	5.984	2.822
54 	P1_IAC44	P1	IAC44	40.388	33.703
55 	P1_IAC44	P1	IAC44	26.494	18.516
56 	P1_IAC44	P1	IAC44	38.945	28.477
57 	P1_IAC44	P1	IAC44	24.386	18.278
58 	P1_IAC44	P1	IAC44	34.327	22.761
59 	P1_IAC44	P1	IAC44	19.011	13.852
60 	P1_IAC44	P1	IAC44	13.716	9.574
61 	P1_IAC44	P1	IAC44	13.716	36.243
62 	P1_IAC44	P1	IAC44	49.597	28.126
63 	P1_IAC44	P1	IAC44	34.588	29.786
64 	P1_IAC44	P1	IAC44	46.166	35.673
65 	P1_IAC44	P1	IAC44	47.422	30.612
66 	P1_IAC44	P1	IAC44	81.814	58.929
67 	P1_IAC44	P1	IAC44	23.284	16.175
68 	P1_IAC44	P1	IAC44	14.135	12.815
69 	P1_IAC44	P1	IAC44	40.423	30.462
70 	P1_IAC44	P1	IAC44	23.596	18.167
71 	P1_IAC44	P1	IAC44	55.529	43.517
72 	P1_IAC44	P1	IAC44	53.953	38.527
73 	P1_IAC44	P1	IAC44	30.036	21.208
